benchmark,config,stats_path,simInsts,simTicks,finalTick,hostSeconds,numCycles,ipc,cpi,committedInsts,committedInstsNotNOP,l1d_overall_misses,l1d_overall_miss_rate,l1i_overall_misses,l1i_overall_miss_rate,l2_overall_misses,l2_overall_miss_rate,l3_overall_misses,l3_overall_miss_rate,prefetch_issued,prefetch_useful,prefetch_unused,prefetch_accuracy,prefetch_coverage,prefetch_late,l2_prefetch_issued,l2_prefetch_useful,l2_prefetch_unused,l2_prefetch_accuracy,l2_prefetch_coverage,l2_prefetch_late,l3_prefetch_issued,l3_prefetch_useful,l3_prefetch_unused,l3_prefetch_accuracy,l3_prefetch_coverage,l3_prefetch_late
matmul_inner_M32_N32_K32,o3_nopf,/home/luot/27thesis/results/matmul_inner_M32_N32_K32/o3_nopf/stats.txt,741885,543599500,543599500,10.99,1087200,0.682381,1.465456,741885,741885,11089,0.086827,561,0.005812,1697,0.968607,,,,,,,,,,,,,,,,,,,,
matmul_inner_M32_N32_K32,o3_stridepf,/home/luot/27thesis/results/matmul_inner_M32_N32_K32/o3_stridepf/stats.txt,741885,512464500,512464500,10.96,1024930,0.723840,1.381521,741885,741885,4408,0.034394,561,0.005825,1888,0.970694,,,4637,608,156,0.131119,0.600197,3549,,,,,,,,,,,,
matmul_inner_M32_N32_K32,o3_stridepf_d8,/home/luot/27thesis/results/matmul_inner_M32_N32_K32/o3_stridepf_d8/stats.txt,741885,512559500,512559500,10.77,1025120,0.723706,1.381777,741885,741885,3759,0.029326,560,0.005819,1893,0.970769,,,7978,691,159,0.086613,0.621403,6899,,,,,,,,,,,,
matmul_inner_M32_N32_K32,o3_stridepf_l1d_l2_l3_d8,/home/luot/27thesis/results/matmul_inner_M32_N32_K32/o3_stridepf_l1d_l2_l3_d8/stats.txt,741885,524165500,524165500,10.85,1048332,0.707681,1.413065,741885,741885,3245,0.025314,558,0.005799,947,0.490419,1164,0.596006,4544,756,142,0.166373,0.642857,3480,6733,934,,0.138720,0.544606,5561,6302,789,,0.125198,0.473874,5201
stream_vadd_N1024,o3_stream_axi_functional,/home/luot/27thesis/results/stream_vadd_N1024/o3_stream_axi_functional/stats.txt,3112,5935000,88812500,0.48,11870,0.262174,3.814267,3112,3112,3,1,2,0.333333,2,0.500000,,,,,,,,,,,,,,,,,,,,
stream_vadd_N1024,o3_stream_axi_functional_single_lsu,/home/luot/27thesis/results/stream_vadd_N1024/o3_stream_axi_functional_single_lsu/stats.txt,3112,5935000,89002500,0.36,11870,0.262174,3.814267,3112,3112,3,1,2,0.333333,2,0.500000,,,,,,,,,,,,,,,,,,,,
stream_vadd_N1024,o3_stream_axi_functional_zircon_blocking_cache,/home/luot/27thesis/results/stream_vadd_N1024/o3_stream_axi_functional_zircon_blocking_cache/stats.txt,3112,6014000,120822500,0.35,12028,0.258730,3.865039,3112,3112,2,0.666667,2,0.285714,2,0.500000,,,,,,,,,,,,,,,,,,,,
stream_vadd_N1024,o3_stream_axi_functional_zircon_width,/home/luot/27thesis/results/stream_vadd_N1024/o3_stream_axi_functional_zircon_width/stats.txt,3112,5951000,90612500,0.35,11902,0.261469,3.824550,3112,3112,3,1,2,0.333333,2,0.500000,,,,,,,,,,,,,,,,,,,,
vadd_N1024,o3_nopf,/home/luot/27thesis/results/vadd_N1024/o3_nopf/stats.txt,8204,6087500,89984000,0.54,12175,0.673840,1.484032,8204,8204,2559,0.832195,1,0.000485,192,0.979592,,,,,,,,,,,,,,,,,,,,
vadd_N1024,o3_single_lsu_nopf,/home/luot/27thesis/results/vadd_N1024/o3_single_lsu_nopf/stats.txt,8204,6479500,90248000,0.45,12959,0.633074,1.579595,8204,8204,2541,0.826341,1,0.000485,192,0.979592,,,,,,,,,,,,,,,,,,,,
